query,method,rank,doc_id,title,chunk_id,score,kg_bonus,final_score,query_profile,detected_disease,detected_species,detected_location,detected_mode,kg_detected_disease,kg_detected_species,kg_detected_location,kg_detected_mode,kg_score,kg_bonus_breakdown,kg_penalty_breakdown,kg_explanation,doc_uri_in_kg,kg_direct_match,kg_relation_match,kg_context_match,match_disease,match_species,match_location,match_mode,bonus_breakdown,penalty_breakdown,explanation,detected_entities
bệnh AHPND trên tôm,vector,1,TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",TB_005_chunk_1,0.651,,,disease_priority,AHPND,tôm,,,AHPND,,,,,,,,,,,,,,,,,,,"{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,vector,2,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,FAO_001_chunk_130,0.6444,,,disease_priority,AHPND,tôm,,,AHPND,,,,,,,,,,,,,,,,,,,"{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,vector,3,PMC_012,Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review,PMC_012_chunk_54,0.6422,,,disease_priority,AHPND,tôm,,,AHPND,,,,,,,,,,,,,,,,,,,"{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,hybrid,1,TB_005,"Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",TB_005_chunk_1,0.651,0.35,1.431,disease_priority,AHPND,tôm,,,AHPND,,,,0.43,aboutDisease=Bệnh hoại tử gan tụy cấp (+0.25); Bệnh hoại tử gan tụy cấp->affectsTaxon->Tôm sú (+0.10); Bệnh hoại tử gan tụy cấp->causedBy->Vi khuẩn Vibrio parahaemolyticus (+0.08),,"KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus",http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#TB_005,0.25,0.18,0.0,True,False,False,False,match disease query=AHPND with doc_term=AHPND (+0.35),,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,hybrid,2,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,FAO_001_chunk_130,0.6444,0.35,1.4244,disease_priority,AHPND,tôm,,,AHPND,,,,0.43,aboutDisease=Bệnh hoại tử gan tụy cấp (+0.25); Bệnh hoại tử gan tụy cấp->affectsTaxon->Tôm sú (+0.10); Bệnh hoại tử gan tụy cấp->causedBy->Vi khuẩn Vibrio parahaemolyticus (+0.08),,"KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus",http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001,0.25,0.18,0.0,True,False,False,False,match disease query=AHPND with doc_term=AHPND (+0.35),,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,hybrid,3,SEAFDEC_006,Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines,SEAFDEC_006_chunk_6,0.641,0.35,1.421,disease_priority,AHPND,tôm,,,AHPND,,,,0.43,aboutDisease=Bệnh hoại tử gan tụy cấp (+0.25); Bệnh hoại tử gan tụy cấp->affectsTaxon->Tôm sú (+0.10); Bệnh hoại tử gan tụy cấp->causedBy->Vi khuẩn Vibrio parahaemolyticus (+0.08),,"KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus",http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#SEAFDEC_006,0.25,0.18,0.0,True,False,False,False,match disease query=AHPND with doc_term=AHPND (+0.35),,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,hybrid,4,FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",FAO_006_chunk_12,0.6395,0.35,1.4195,disease_priority,AHPND,tôm,,,AHPND,,,,0.43,aboutDisease=Bệnh hoại tử gan tụy cấp (+0.25); Bệnh hoại tử gan tụy cấp->affectsTaxon->Tôm sú (+0.10); Bệnh hoại tử gan tụy cấp->causedBy->Vi khuẩn Vibrio parahaemolyticus (+0.08),,"KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus",http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_006,0.25,0.18,0.0,True,False,False,False,match disease query=AHPND with doc_term=AHPND (+0.35),,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp affectsTaxon Tôm sú, and document aboutTaxon=Tôm sú; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh AHPND trên tôm,hybrid,5,PMC_012,Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review,PMC_012_chunk_54,0.6422,0.35,1.3222,disease_priority,AHPND,tôm,,,AHPND,,,,0.33,aboutDisease=Bệnh hoại tử gan tụy cấp (+0.25); Bệnh hoại tử gan tụy cấp->causedBy->Vi khuẩn Vibrio parahaemolyticus (+0.08),,"KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus",http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#PMC_012,0.25,0.08,0.0,True,False,False,False,match disease query=AHPND with doc_term=AHPND (+0.35),,"metadata: match disease query=AHPND with doc_term=AHPND (+0.35); KG: KG direct match: document aboutDisease=Bệnh hoại tử gan tụy cấp; KG relation match: Bệnh hoại tử gan tụy cấp causedBy Vi khuẩn Vibrio parahaemolyticus, and document has pathogen=Vi khuẩn Vibrio parahaemolyticus","{'disease': ['AHPND'], 'species': ['tôm'], 'location': [], 'mode': []}"
bệnh đốm trắng ở tôm thẻ chân trắng,vector,1,TCKHTS_001,"Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",TCKHTS_001_chunk_2,0.6753,,,species_priority,Bệnh đốm trắng,Tôm thẻ chân trắng,,,Bệnh đốm trắng,Tôm thẻ chân trắng,,,,,,,,,,,,,,,,,,"{'disease': ['Bệnh đốm trắng'], 'species': ['Tôm thẻ chân trắng'], 'location': [], 'mode': []}"
bệnh đốm trắng ở tôm thẻ chân trắng,vector,2,TB_007,Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng,TB_007_chunk_0,0.6316,,,species_priority,Bệnh đốm trắng,Tôm thẻ chân trắng,,,Bệnh đốm trắng,Tôm thẻ chân trắng,,,,,,,,,,,,,,,,,,"{'disease': ['Bệnh đốm trắng'], 'species': ['Tôm thẻ chân trắng'], 'location': [], 'mode': []}"
