query_id,query_text,query_group,detected_profile,inferred_profile,detected_disease_entities,detected_taxon_entities,detected_location_entities,detected_production_mode_entities,detected_topic_or_management_entities,alias_matches,canonical_entities,uses_disease_priority,uses_species_priority,uses_location_guardrail,uses_production_mode_guardrail,recommended_signal_priority,note
BI_001,biosecurity trong hatchery tôm thẻ chân trắng,biosecurity-management,species_priority,biosecurity-management,,Penaeus vannamei,,hatchery aquaculture,topic: biosecurity; prevention: An toàn sinh học,species:tom the chan trang->Penaeus vannamei [kg]; mode:hatchery->hatchery aquaculture [term]; topic:biosecurity->biosecurity [term]; prevention:biosecurity->An toàn sinh học [kg],"{""species"": [""Penaeus vannamei""], ""mode"": [""hatchery aquaculture""], ""topic"": [""biosecurity""], ""prevention"": [""An toàn sinh học""]}",False,True,False,True,"vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence. Runtime flags: species_priority, mode-sensitive, topic/management context.",OK
BI_003,surveillance và phân vùng dịch bệnh động vật thủy sản,biosecurity-management,generic,biosecurity-management,,,,,,,{},False,False,False,False,vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence.,OK
BI_004,Progressive Management Pathway nuôi trồng an toàn sinh học FAO,biosecurity-management,generic,biosecurity-management,,,,Nuôi trồng,topic: biosecurity; prevention: An toàn sinh học,mode:nuoi trong->Nuôi trồng [kg]; topic:an toan sinh hoc->biosecurity [term]; prevention:an toan sinh hoc->An toàn sinh học [kg],"{""mode"": [""Nuôi trồng""], ""topic"": [""biosecurity""], ""prevention"": [""An toàn sinh học""]}",False,False,False,False,"vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence. Runtime flags: mode-sensitive, topic/management context.",OK
BI_006,phân tích rủi ro nuôi trồng thủy sản áp dụng thực tiễn,biosecurity-management,generic,biosecurity-management,,,,Nuôi trồng,,mode:nuoi trong->Nuôi trồng [kg],"{""mode"": [""Nuôi trồng""]}",False,False,False,False,vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence. Runtime flags: mode-sensitive.,OK
BI_007,ứng phó khẩn cấp dịch bệnh thủy sản hệ thống quốc gia,biosecurity-management,generic,biosecurity-management,,,,,,,{},False,False,False,False,vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence.,Linked error-analysis note: missing_alias
BI_010,sổ tay chẩn đoán bệnh thủy sản châu Á,biosecurity-management,generic,biosecurity-management,,,,,,,{},False,False,False,False,vector semantics + topic/management/prevention aliases; KG prevention/management context is supporting evidence.,OK
DS_001,bệnh AHPND trên tôm,disease-specific,disease_priority,disease-specific,AHPND,tôm,,,,disease:ahpnd->AHPND [kg]; species:tom->tôm [term],"{""disease"": [""AHPND""], ""species"": [""tôm""]}",True,False,False,False,"KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: disease_priority, species_priority.",OK
DS_002,bệnh đốm trắng ở tôm thẻ chân trắng,disease-specific,disease_priority,disease-specific,WSSV,Penaeus vannamei,,,,disease:benh om trang->WSSV [kg]; species:tom the chan trang->Penaeus vannamei [kg],"{""disease"": [""WSSV""], ""species"": [""Penaeus vannamei""]}",True,False,False,False,"KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: disease_priority, species_priority.",OK
DS_003,infectious myonecrosis,disease-specific,disease_priority,disease-specific,IMN,,,,,disease:infectious myonecrosis->IMN [kg],"{""disease"": [""IMN""]}",True,False,False,False,KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: disease_priority.,OK
DS_006,bệnh vi bào tử trùng gan tụy EHP trên tôm,disease-specific,disease_priority,disease-specific,EHP,tôm,,,,disease:ehp->EHP [kg]; species:tom->tôm [term],"{""disease"": [""EHP""], ""species"": [""tôm""]}",True,False,False,False,"KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: disease_priority, species_priority.",Linked error-analysis note: not_error_but_baseline_limitation
DS_007,bệnh do Vibrio parahaemolyticus trên tôm thẻ,disease-specific,species_priority,disease-specific,,Penaeus vannamei,,,,species:tom the->Penaeus vannamei [term],"{""species"": [""Penaeus vannamei""]}",False,True,False,False,KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: species_priority.,Expected disease-specific intent but runtime disease entity is missing. Linked error-analysis note: missing_disease_fact
DS_010,tình hình AHPND trên tôm nuôi ở Philippines,disease-specific,disease_priority,disease-specific,AHPND,tôm,Philippines,,,disease:ahpnd->AHPND [kg]; species:tom->tôm [term]; location:philippines->Philippines [kg],"{""disease"": [""AHPND""], ""species"": [""tôm""], ""location"": [""Philippines""]}",True,False,True,False,"KG disease facts + metadata disease + vector; disease evidence should dominate. Runtime flags: disease_priority, species_priority, location-sensitive.",OK
HM_001,production mode trại giống tôm thẻ chân trắng,hatchery-production-mode,species_priority,hatchery-production-mode,,Penaeus vannamei,,hatchery aquaculture,,species:tom the chan trang->Penaeus vannamei [kg]; mode:trai giong->hatchery aquaculture [term],"{""species"": [""Penaeus vannamei""], ""mode"": [""hatchery aquaculture""]}",False,True,False,True,"production_mode metadata + species + vector; KG mode and hatchery intent guardrails are important. Runtime flags: species_priority, mode-sensitive.",Linked error-analysis note: weak_candidate_pool
HM_002,tài liệu về trại giống tôm sú ở Ấn Độ,hatchery-production-mode,species_priority,hatchery-production-mode,,Penaeus monodon,Ấn Độ,hatchery aquaculture,,species:tom su->Penaeus monodon [kg]; location:an o->Ấn Độ [kg]; mode:trai giong->hatchery aquaculture [term],"{""species"": [""Penaeus monodon""], ""location"": [""Ấn Độ""], ""mode"": [""hatchery aquaculture""]}",False,True,False,False,"production_mode metadata + species + vector; KG mode and hatchery intent guardrails are important. Runtime flags: species_priority, location-sensitive, mode-sensitive.",OK
