doc_id,title,file_path,chunk_count,in_chunks_meta
AAF_001,Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam,data/raw_docs/AAF_001_vibrio_ahpnd_diversity_vietnam.pdf,153,YES
BIOLOGY_001,Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection,data/raw_docs/BIOLOGY_001_biology13100758.pdf,85,YES
CTU_001,Kỹ thuật sản xuất giống và nuôi giáp xác,data/raw_docs/CTU_001_ky_thuat_san_xuat_giong_va_nuoi_giap_xac.pdf,606,YES
CTU_002,Kỹ thuật sản xuất giống và nuôi cá biển,data/raw_docs/CTU_002_ky_thuat_san_xuat_giong_va_nuoi_ca_bien.pdf,327,YES
CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,data/raw_docs/CTU_JOURNAL_001_hieu_qua_mo_hinh_nuoi_tom_ninh_thuan.pdf,41,YES
CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,data/raw_docs/CTU_JOURNAL_002_hieu_qua_ky_thuat_tai_chinh_tom_the_ca_mau.pdf,36,YES
CTU_JOURNAL_003,Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang,data/raw_docs/CTU_JOURNAL_003_ky_sinh_trung_ca_bop_kien_giang.pdf,67,YES
DLU_002,Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei),data/raw_docs/DLU_002_wssv_tom_cang_lay_sang_tom_the.pdf,38,YES
FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,data/raw_docs/FAO_001_cb2119en.pdf,313,YES
FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,data/raw_docs/FAO_002_a1152e.pdf,497,YES
FAO_003,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),data/raw_docs/FAO_003_ca2976en.pdf,1165,YES
FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,data/raw_docs/FAO_004_cc6858en.pdf,398,YES
FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,data/raw_docs/FAO_005_y5040e.pdf,256,YES
FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",data/raw_docs/FAO_006_bt131e.pdf,324,YES
FAO_007,"Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025",data/raw_docs/FAO_007_cd8164en.pdf,239,YES
FAO_008,Low water exchange shrimp farming: improvements in Thailand,data/raw_docs/FAO_008_cb8926en.pdf,28,YES
FAO_009,Asia diagnostic guide to aquatic animal diseases,data/raw_docs/FAO_009_y1679e.pdf,945,YES
FAO_010,Shrimp infectious myonecrosis strategy manual,data/raw_docs/FAO_010_ca6052en.pdf,201,YES
FAO_011,Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35,data/raw_docs/FAO_011_ad824e.pdf,172,YES
FAO_012,Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific,data/raw_docs/FAO_012_ad505e.pdf,171,YES
FAO_013,Surveillance and zoning for aquatic animal diseases,data/raw_docs/FAO_013_y5325e.pdf,332,YES
FAO_014,GLOBEFISH Quarterly Lobster Analysis - February 2026,data/raw_docs/FAO_014_cd8658en.pdf,18,YES
FAO_015,FAO species catalogue. Vol.13. Marine lobsters of the world. An annotated and illustrated catalogue of marine lobsters known to date,data/raw_docs/FAO_015_t0411e.pdf,8,YES
FAO_016,Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources,data/raw_docs/FAO_016_cd7559en.pdf,856,YES
FAO_017,Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms,data/raw_docs/FAO_017_ca7588en.pdf,349,YES
FAO_018,Water quality and fish health,data/raw_docs/FAO_018_t1623e.pdf,313,YES
FAO_019,Understanding and applying risk analysis in aquaculture,data/raw_docs/FAO_019_i0490e.pdf,1444,YES
FAO_020,Risk Analysis for Movements of Live Aquatic Animals. An introductory training course,data/raw_docs/FAO_020_i2571e.pdf,273,YES
FAO_021,Guidelines for Sustainable Aquaculture: Communications handbook and toolkit,data/raw_docs/FAO_021_cd8667en.pdf,47,YES
FAO_022,Aquaculture development. 4. Ecosystem approach to aquaculture,data/raw_docs/FAO_022_i1750e.pdf,202,YES
FAO_023,"Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements",data/raw_docs/FAO_023_i0970e.pdf,3149,YES
FAO_024,Reducing environmental impacts of coastal aquaculture,data/raw_docs/FAO_024_u3100e.pdf,150,YES
FAO_025,"Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda",data/raw_docs/FAO_025_a0366e.pdf,159,YES
FAO_026,Aquaculture Environmental Impact Assessment,data/raw_docs/FAO_026_br813e.pdf,21,YES
FAO_027,Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt),data/raw_docs/FAO_027_cd6476en.pdf,499,YES
FAO_028,Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples,data/raw_docs/FAO_028_i3569e.pdf,169,YES
FAO_029,"Impacts of climate change on fisheries and aquaculture. Synthesis of current knowledge, adaptation and mitigation options",data/raw_docs/FAO_029_i9705en.pdf,3390,YES
FAO_031,Translating the Guidelines for Sustainable Aquaculture into action. Policy brief,data/raw_docs/FAO_031_cd8563en.pdf,37,YES
FAO_032,Future pathways for aquaculture and fisheries development in Azerbaijan,data/raw_docs/FAO_032_cd8633en.pdf,33,YES
FAO_033,FAO Reference Centres for Antimicrobial Resistance and Aquaculture Biosecurity. Combating AMR together: ensuring healthy and safe aquatic foods,data/raw_docs/FAO_033_cc6625en.pdf,11,YES
FAO_034,A survey of national emergency preparedness and response (EPR) systems. FAO Project TCP/INT/3501: Strengthening biosecurity governance and capacities for dealing with the serious shrimp infectious myonecrosis virus (IMNV) disease,data/raw_docs/FAO_034_ca2705en.pdf,149,YES
FAO_035,Health management in Asian aquaculture,data/raw_docs/FAO_035_w3594e.pdf,42,YES
FAO_036,Strengthening aquaculture health management in Bosnia and Herzegovina,data/raw_docs/FAO_036_i1137e.pdf,409,YES
FAO_037,Preventing and managing aquatic animal disease risks in aquaculture through a progressive management pathway,data/raw_docs/FAO_037_na265en.pdf,53,YES
FAO_038,Risk management practices of small intensive shrimp farmers in the Mekong Delta of Viet Nam,data/raw_docs/FAO_038_ca6702en.pdf,109,YES
FAO_039,Promotion of Small-scale Shrimp and Prawn Hatcheries in India and Bangladesh - BOBP/REP/66,data/raw_docs/FAO_039_ad893e.pdf,98,YES
FAO_040,An assessment of impacts from shrimp aquaculture in Bangladesh and prospects for improvement,data/raw_docs/FAO_040_i8064en.pdf,405,YES
FAO_041,Guidelines for Sustainable Aquaculture,data/raw_docs/FAO_041_cd3785en.pdf,196,YES
FAO_042_biosecurity_philippines,Biosecurity in Aquaculture: Philippines,data/raw_docs/FAO_042_biosecurity_philippines.pdf,19,YES
FAO_042_i3720e,The State of World Fisheries and Aquaculture 2024 – Blue Transformation in action,data/raw_docs/FAO_042_i3720e.pdf,1162,YES
FAO_043,Boosting biosecurity in Peru’s shrimp farming industry for sustainable livelihoods,data/raw_docs/FAO_043_boosting_biosecurity_peru.pdf,10,YES
