doc_id,title,source,year,doc_type,topic_groups,n_topic_groups,matched_keywords_or_fields,location,language,notes
FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,FAO,2020,Manual / Guide,aquatic_disease; biosecurity_management; species_taxon_specific,3,field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: prevention; field: related_taxon/species,Global,English,multi-label
FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,FAO,2007,Technical study,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"keywords: health; hatchery keywords/fields: hatchery, trai giong; biosecurity/management keywords: biosecurity, health management; field: related_taxon/species",India,English,multi-label
FAO_003,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),FAO,2018,Technical book,aquatic_disease; biosecurity_management; local_vietnam_khanhhoa; species_taxon_specific,4,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: prevention, surveillance; local keywords/fields: vietnam, viet nam; field: related_taxon/species",Vietnam; Asia; Latin America,English,multi-label
FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,FAO,2023,Technical study,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: disease, surveillance, health; biosecurity/management keywords: biosecurity, prevention, health management, risk, risk analysis; field: related_taxon/species",Global,English,multi-label
FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,FAO,2003,Technical study,aquatic_disease; hatchery_seed_production; biosecurity_management; species_taxon_specific,4,"keywords: health; hatchery keywords/fields: hatchery; biosecurity/management keywords: biosecurity, health management; field: related_taxon/species",Latin America; Caribbean,English,multi-label
FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",FAO,2017,Meeting document,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: biosecurity, prevention, surveillance, kiem soat; field: related_taxon/species",Thailand; Bangkok; Global,English,multi-label
FAO_007,"Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025",FAO,2026,Technical report,aquatic_disease; species_taxon_specific,2,keywords: health; field: related_taxon/species,Central Asia; Caucasus; Kazakhstan,English,multi-label
FAO_008,Low water exchange shrimp farming: improvements in Thailand,FAO,2022,Brochure,aquatic_disease; environment_water_quality; species_taxon_specific,3,"keywords: disease, disease control; environment keywords/fields: pond; field: related_taxon/species",Thailand; Bangkok,English,multi-label
FAO_009,Asia diagnostic guide to aquatic animal diseases,FAO,2001,Technical study,aquatic_disease; biosecurity_management; species_taxon_specific,3,"keywords: diagnosis, diagnostic, health; biosecurity/management keywords: kiem soat; field: related_taxon/species",Asia,English,multi-label
FAO_010,Shrimp infectious myonecrosis strategy manual,FAO,2019,Manual / Guide,aquatic_disease; biosecurity_management; species_taxon_specific,3,"field: disease/pathogen/symptom/prevention/treatment; biosecurity/management keywords: prevention, kiem soat; field: related_taxon/species",Global,English,multi-label
