doc_uri,doc_id,title,metadata_row_found,aboutTaxon_count,has_aboutTaxon,aboutDisease_count,has_aboutDisease,aboutLocation_count,has_aboutLocation,documentProductionMode_count,has_documentProductionMode,total_structured_fact_count,metadata_aboutTaxon_present,metadata_aboutDisease_present,metadata_aboutLocation_present,metadata_documentProductionMode_present,missing_fact_types,confidence_to_backfill
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#BIOLOGY_001,BIOLOGY_001,Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection,True,1,True,1,True,0,False,1,True,3,True,True,False,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_001,FAO_001,Shrimp acute hepatopancreatic necrosis disease strategy manual,True,2,True,1,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_002,FAO_002,Improving Penaeus monodon hatchery practices. Manual based on experience in India.,True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_003,FAO_003,Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),True,2,True,1,True,2,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_004,FAO_004,The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application,True,0,False,0,False,1,True,1,True,2,True,False,True,True,aboutTaxon,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_005,FAO_005,Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America,True,1,True,0,False,1,True,1,True,3,True,False,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_006,FAO_006,"FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016",True,2,True,2,True,1,True,1,True,4,True,True,True,True,,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_007,FAO_007,"Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025",True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_008,FAO_008,Low water exchange shrimp farming: improvements in Thailand,True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_009,FAO_009,Asia diagnostic guide to aquatic animal diseases,True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_010,FAO_010,Shrimp infectious myonecrosis strategy manual,True,1,True,0,False,1,True,1,True,3,True,True,True,True,aboutDisease,low
http://www.semanticweb.org/lenovo/ontologies/2026/0/untitled-ontology-3#FAO_011,FAO_011,Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35,True,0,False,0,False,0,False,1,True,1,True,False,True,True,aboutTaxon;aboutLocation,low
