query_id,original_query,query_group,detected_entity,entity_type,expansion_type,expansion_terms,expansion_source,expanded_query_example,expected_effect,risk_or_caution,should_use_in_final,notes
QE_DISEASE_AHPND_ALIAS,AHPND shrimp disease,disease-specific,AHPND,disease,disease_alias,acute hepatopancreatic necrosis disease; EMS; AHPNS,metadata related_disease; skos:altLabel; fallback_metadata_alias,,Improve matching when documents use full disease name or EMS/AHPNS wording instead of AHPND.,EMS/AHPNS can be broader than AHPND in some sources; keep disease intent anchored.,false,
QE_DISEASE_AHPND_PATHOGEN,AHPND shrimp disease,disease-specific,AHPND,disease,disease_to_pathogen,Vibrio parahaemolyticus; Vibrio; bacterial pathogen,ontology relation causedBy; metadata keywords,,Bridge disease queries to pathogen-focused documents.,Vibrio is broad; use with lower weight or only as candidate expansion.,false,
QE_DISEASE_AHPND_PREVENTION,AHPND shrimp disease prevention,biosecurity-management,AHPND,disease,disease_to_prevention,biosecurity; disease prevention; disease control; surveillance,ontology relation recommendedPrevention; metadata keywords,,Retrieve management/prevention manuals for AHPND-oriented queries.,Can drift toward generic biosecurity; retain AHPND term in rewritten query.,false,
QE_DISEASE_WSSV_ALIAS,WSSV shrimp,disease-specific,WSSV,disease,disease_alias,white spot syndrome virus; white spot disease; bệnh đốm trắng,metadata related_disease; fallback_metadata_alias,,Improve recall for Vietnamese and English WSSV variants.,White spot disease can appear as disease or virus wording; use as synonym only.,false,
QE_DISEASE_WSSV_PREVENTION,bệnh đốm trắng ở tôm nuôi,local,WSSV,disease,disease_to_prevention,PCR; LAMP-PCR; biofloc; chế phẩm sinh học; biosecurity,metadata keywords; manual_safe_rule_from_existing_facts,,Connect WSSV query to prevention/diagnostic documents.,Diagnostic and prevention terms should not dominate disease intent.,false,
QE_DISEASE_IMNV_ALIAS,infectious myonecrosis,disease-specific,IMNV,disease,disease_alias,infectious myonecrosis virus; IMN; hoại tử cơ truyền nhiễm,metadata related_disease; fallback_metadata_alias,,Improve cross-language matching for IMNV/IMN queries.,IMN can refer to disease while IMNV is virus; keep both but low-risk alias.,false,
QE_DISEASE_EHP_ALIAS,EHP trên tôm,disease-specific,EHP,disease,disease_alias,Enterocytozoon hepatopenaei; hepatopancreatic microsporidiosis; HPM; vi bào tử trùng gan tụy,metadata related_disease; fallback_metadata_alias,,Recover EHP documents using scientific pathogen/disease names.,Long scientific aliases may add lexical noise; use as candidate expansion.,false,
QE_DISEASE_VIBRIOSIS_PATHOGEN,vibriosis shrimp hatchery,hatchery-production-mode,vibriosis,disease,disease_to_pathogen,Vibrio parahaemolyticus; Vibrio harveyi; Vibrio campbellii; Vibrio alginolyticus,metadata related_disease; metadata keywords; ontology relation causedBy,,Bridge disease query to pathogen-specific hatchery studies.,Vibrio species are broad; should be weighted by hatchery/disease context.,false,
QE_TAXON_VANNAMEI_ALIAS,whiteleg shrimp hatchery,hatchery-production-mode,whiteleg shrimp,taxon,taxon_scientific_name,Penaeus vannamei; Litopenaeus vannamei; tôm thẻ chân trắng; Pacific whiteleg shrimp,skos:altLabel; metadata related_taxon; fallback_metadata_alias,,Improve matching between common names and scientific/Vietnamese names.,"Penaeus/Litopenaeus naming variants should be treated as aliases, not separate species.",false,
QE_TAXON_MONODON_ALIAS,black tiger shrimp hatchery India,species-location,black tiger shrimp,taxon,taxon_scientific_name,Penaeus monodon; tôm sú; tiger shrimp,metadata related_taxon; fallback_metadata_alias,,Connect black tiger shrimp wording with Penaeus monodon hatchery manuals.,Generic shrimp docs may be over-retrieved; keep India/hatchery constraints.,false,
QE_TAXON_LOBSTER_ALIAS,lobster Khanh Hoa,local,lobster,taxon,taxon_alias,tôm hùm; spiny lobster; Panulirus ornatus; tôm hùm xanh,metadata related_taxon; skos:altLabel; fallback_metadata_alias,,Improve matching for Vietnamese local lobster planning/monitoring documents.,Lobster market/capture documents may enter; preserve local aquaculture intent.,false,
QE_TAXON_SHRIMP_COMMON,shrimp disease prevention,biosecurity-management,shrimp,taxon,taxon_common_name,tôm; prawns and shrimps; crustaceans; Penaeus,metadata related_taxon; metadata keywords,,Recover documents using broad crustacean/shrimp terminology.,Broad taxon expansion can reduce precision; use only for candidate generation.,false,
QE_LOCATION_KHANHHOA_ALIAS,nuôi tôm hùm Khánh Hòa,local,Khánh Hòa,location,location_alias,Khanh Hoa; Vịnh Cam Ranh; Cam Ranh; Vạn Ninh; Vịnh Văn Phong,metadata related_location; fallback_metadata_alias,,Retrieve documents naming bays/districts rather than only province name.,Do not over-expand to all Vietnam if query is local and narrow.,false,
