path,category,reason,confidence,superseded_by,size_bytes,modified_time
.streamlit/config.toml,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,155,2026-05-26T19:01:49
.vscode/settings.json,ASK_BEFORE_ARCHIVE,Local IDE configuration; not needed for final package but ask before archiving local setup files.,medium,,68,2026-03-12T19:06:20
__pycache__/analyze_ontology_alias_gaps.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,13956,2026-03-26T19:49:22
__pycache__/audit_document_fact_coverage.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,18052,2026-03-26T20:03:51
__pycache__/backfill_document_facts_from_metadata.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,13305,2026-03-26T20:50:48
__pycache__/enrich_ontology_aliases.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,8524,2026-03-26T19:49:22
__pycache__/hybrid_search.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,71821,2026-05-23T23:22:43
__pycache__/kg_runtime.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,42666,2026-04-18T12:40:13
__pycache__/run_core_baselines.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,30524,2026-05-23T23:23:19
__pycache__/semantic_normalization.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,5422,2026-04-01T20:42:02
__pycache__/sync_metadata_to_owl.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,19072,2026-03-30T21:52:29
__pycache__/vector_search.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,13128,2026-05-23T23:22:43
__pycache__/verify_kg_runtime.cpython-313.pyc,ARCHIVE_CANDIDATE,"Generated Python cache artifact, safe to exclude/archive from final package.",high,,13003,2026-04-18T12:40:13
analyze_ontology_alias_gaps.py,ASK_BEFORE_ARCHIVE,"One-off metadata/ontology cleanup or verification script; likely not in final package, but may be needed for provenance/regeneration.",medium,data/ontology/taxon_enriched_facts_v2.owl; data/metadata/document_metadata_cleaned.xlsx,12496,2026-03-26T19:46:46
analyze_query_understanding_profiles.py,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,20895,2026-05-23T23:31:02
app_streamlit.py,NEVER_TOUCH,Final runtime/evaluation source-of-truth explicitly protected from archive proposals.,high,,23890,2026-05-26T19:07:44
audit_alias_and_metadata_noise.py,ASK_BEFORE_ARCHIVE,"One-off metadata/ontology cleanup or verification script; likely not in final package, but may be needed for provenance/regeneration.",medium,data/ontology/taxon_enriched_facts_v2.owl; data/metadata/document_metadata_cleaned.xlsx,6275,2026-03-30T22:03:33
audit_document_fact_coverage.py,ASK_BEFORE_ARCHIVE,"One-off metadata/ontology cleanup or verification script; likely not in final package, but may be needed for provenance/regeneration.",medium,data/ontology/taxon_enriched_facts_v2.owl; data/metadata/document_metadata_cleaned.xlsx,15085,2026-04-01T20:41:17
backfill_document_facts_from_metadata.py,ASK_BEFORE_ARCHIVE,"One-off metadata/ontology cleanup or verification script; likely not in final package, but may be needed for provenance/regeneration.",medium,data/ontology/taxon_enriched_facts_v2.owl; data/metadata/document_metadata_cleaned.xlsx,14798,2026-04-01T20:41:26
build_imn_lobster_comparison.py,ARCHIVE_CANDIDATE,Old IMN/lobster comparison helper tied to archived snapshots/reports.,high,outputs/archive/old_reports/imn_lobster_fix_report.md,5272,2026-04-05T23:36:32
build_weak_query_comparison.py,ARCHIVE_CANDIDATE,Old weak-query comparison helper tied to archived snapshots/reports.,high,outputs/archive/old_reports/focus_two_weak_queries_report.md,4140,2026-04-05T23:06:29
capture_focus_two_queries.py,ARCHIVE_CANDIDATE,Old query-capture/debug helper tied to archived focus-query snapshots.,high,outputs/archive/old_reports/focus_two_weak_queries_report.md,2600,2026-04-12T21:39:29
capture_focus_two_queries_round2.py,ARCHIVE_CANDIDATE,Old round-2 query-capture helper tied to archived focus-query snapshots.,high,outputs/archive/old_reports/focus_two_weak_queries_report_round2.md,2892,2026-04-13T18:40:33
capture_weak_queries.py,ARCHIVE_CANDIDATE,Old query-capture/debug helper tied to archived weak-query snapshots.,high,outputs/archive/old_snapshots/weak_query_fix_comparison.json,4210,2026-04-05T23:06:29
clean_metadata_for_entity_matching.py,ASK_BEFORE_ARCHIVE,"One-off metadata/ontology cleanup or verification script; likely not in final package, but may be needed for provenance/regeneration.",medium,data/ontology/taxon_enriched_facts_v2.owl; data/metadata/document_metadata_cleaned.xlsx,10137,2026-03-30T22:03:33
compute_core_metrics.py,ASK_BEFORE_ARCHIVE,"Root-level stub/placeholder; real metric implementation is under data/eval/metrics, but checklist mentions this path.",medium,data/eval/metrics/compute_core_metrics.py,240,2026-05-18T19:14:59
data/eval/analysis/baseline_strengths_by_group.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,629,2026-05-03T14:48:19
data/eval/analysis/error_analysis_and_final_improvement_plan.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,15757,2026-05-03T14:49:00
data/eval/analysis/final_technical_iteration_report.md,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,6781,2026-05-03T15:29:00
data/eval/analysis/query_failure_buckets.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,1176,2026-05-03T14:48:21
data/eval/competency_questions_core.csv,KEEP_SUPPORTING,"Supporting experiment, verification, evaluation, or reproducibility artifact worth retaining outside the main final core.",high,,2215,2026-05-21T19:49:53
