cq_id,question,cq_group,sparql_intent,expected_answer,actual_result,matched_expected,status,required_relations,note
CQ_01,Tìm tài liệu liên quan đến AHPND,document_retrieval,docs_about_disease:AHPND,FAO_001;FAO_006;PMC_012,"AAF_001|Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam; FAO_001|Shrimp acute hepatopancreatic necrosis disease strategy manual; FAO_003|Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND); FAO_006|FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016; FAO_044|Report of the FAO/MARD Technical Workshop on Early Mortality Syndrome (EMS) or Acute Hepatopancreatic Necrosis Syndrome (AHPNS) of Cultured Shrimp; MDPI_001|Prevalence of Vibrio parahaemolyticus Causing Acute Hepatopancreatic Necrosis Disease of Shrimp in Shrimp, Molluscan Shellfish and Water Samples in the Mekong Delta, Vietnam; NACA_003|Report of the fifteenth meeting of the Asia Regional Advisory Group on Aquatic Animal Health, 21-23 November 2016; PMC_006|Microbial community characterization of shrimp survivors to AHPND challenge test treated with an effective shrimp probiotic (Vibrio diabolicus); PMC_007|Effects of Feed Mixed with Lactic Acid Bacteria and Carbon, Nitrogen, Phosphorus Supplied to the Water on the Growth and Survival Rate of White Leg Shrimp (Penaeus vannamei) Infected with Acute Hepatopancreatic Necrosis Disease Caused by Vibrio parahaemolyticus; PMC_008|Investigation of the Protective Effect of Probiotic Lactobacillus plantarum Ep-M17 on the Hepatopancreas of Penaeus vannamei; PMC_009|Characterization of Microbiome Diversity in the Digestive Tract of Penaeus vannamei Fed with Probiotics and Challenged with Vibrio parahaemolyticus Acute Hepatopancreatic Necrosis Disease; PMC_010|A Review of the Functional Annotations of Important Genes in the AHPND-Causing pVA1 Plasmid; PMC_011|Structural Insights into the Cytotoxic Mechanism of Vibrio parahaemolyticus PirAvp and PirBvp Toxins; PMC_012|Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review; PMC_026|Las bolitas Syndrome in Penaeus vannamei Hatcheries in Latin America; PMC_028|Microbiome of Pacific Whiteleg shrimp reveals differential bacterial community composition between Wild, Aquacultured and AHPND/EMS outbreak conditions; PMC_029|Selection of Lactic Acid Bacteria (LAB) Antagonizing Vibrio parahaemolyticus: The Pathogen of Acute Hepatopancreatic Necrosis Disease (AHPND) in Whiteleg Shrimp (Penaeus vannamei); PMC_030|Microbial signature profiles of Penaeus vannamei larvae in low-survival hatchery tanks affected by vibriosis; PMC_036|Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease; SEAFDEC_001|Acute hepatopancreatic necrosis disease (AHPND)) and hepatopancreatic microsporidiosis (HPM)): Two threats to sustainable shrimp aquaculture; SEAFDEC_002|Status of transboundary diseases of penaeid shrimps in Singapore; SEAFDEC_004|Advocating preventive measures that inhibit early mortality syndrome in shrimps; SEAFDEC_006|Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines; SEAFDEC_007|Draft genome sequence of Vibrio parahaemolyticus strain PH1339, which causes acute hepatopancreatic necrosis disease in shrimp in the Philippines; SEAFDEC_008|Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming; SEAFDEC_009|Current status of acute hepatopancreatic necrosis disease (AHPND) and other transboundary diseases of farmed shrimps in Indonesia; SEAFDEC_010|Latest research on acute hepatopancreatic necrosis disease (AHPND) of penaeid shrimps; SEAFDEC_011|Current status of acute hepatopancreatic necrosis disease (AHPND) of farmed shrimp in Malaysia; TB_005|Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024; TCKHTS_001|Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh",FAO_001; FAO_006; PMC_012,correct,aboutDisease,Expected answers verified in taxon_enriched_facts_v2.owl.
CQ_02,Tìm tài liệu liên quan đến tôm sú / Penaeus monodon,taxon_query,docs_about_taxon:Penaeus monodon,FAO_002;SEAFDEC_006;PLOS_001,"CTU_001|Kỹ thuật sản xuất giống và nuôi giáp xác; CTU_JOURNAL_001|Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận; FAO_001|Shrimp acute hepatopancreatic necrosis disease strategy manual; FAO_002|Improving Penaeus monodon hatchery practices. Manual based on experience in India.; FAO_003|Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND); FAO_006|FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016; PLOS_001|PmVRP15, a Novel Viral Responsive Protein from the Black Tiger Shrimp, Penaeus monodon, Promoted White Spot Syndrome Virus Replication; PMC_024|Immunostimulants for shrimp aquaculture: paving pathway towards shrimp sustainability; PMC_025|Occurrence of viral pathogens in Penaeus monodon post-larvae from aquaculture hatcheries; SEAFDEC_004|Advocating preventive measures that inhibit early mortality syndrome in shrimps; SEAFDEC_005|Status of shrimp health management in Myanmar; SEAFDEC_006|Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines; SEAFDEC_008|Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming; TB_001|Giải pháp an toàn sinh học trong nuôi tôm; TB_005|Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024; TB_006|Hoại tử cơ (IMNV) trên tôm và chiến lược kiểm soát; TB_007|Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng; TCTS_001|Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả",FAO_002; SEAFDEC_006; PLOS_001,correct,aboutTaxon,Uses ontology alias Penaeus monodon -> Tom_su.
CQ_03,Tìm tài liệu theo production mode aquaculture,document_retrieval,docs_by_mode:Aquaculture,FAO_001;FAO_005;FAO_008,"AAF_001|Characteristics and diversity of Vibrio parahaemolyticus causing acute hepatopancreatic necrosis disease in Vietnam; BIOLOGY_001|Characterization and Expression Analysis of the C-Type Lectin Ladderlectin in Litopenaeus vannamei Post-WSSV Infection; CTU_001|Kỹ thuật sản xuất giống và nuôi giáp xác; CTU_002|Kỹ thuật sản xuất giống và nuôi cá biển; CTU_JOURNAL_001|Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận; CTU_JOURNAL_002|Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau; CTU_JOURNAL_003|Hiện trạng nhiễm ký sinh trùng trên cá bớp (Rachycentron canadum) nuôi lồng ở tỉnh Kiên Giang; DLU_002|Nghiên cứu sự nhiễm vi rút đốm trắng (WSSV) ở tôm càng (Macrobrachium nipponense) và khả năng lan truyền bệnh sang tôm thẻ chân trắng (Litopenaeus vannamei); FAO_001|Shrimp acute hepatopancreatic necrosis disease strategy manual; FAO_002|Improving Penaeus monodon hatchery practices. Manual based on experience in India.; FAO_003|Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND); FAO_004|The Progressive Management Pathway for Aquaculture Biosecurity: Guidelines for application; FAO_005|Health management and biosecurity maintenance in white shrimp (Penaeus vannamei) hatcheries in Latin America; FAO_006|FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016; FAO_007|Report of the Ninth Session of the Central Asian and Caucasus Regional Fisheries and Aquaculture Commission, Almaty, Kazakhstan, 25–26 November 2025; FAO_008|Low water exchange shrimp farming: improvements in Thailand; FAO_009|Asia diagnostic guide to aquatic animal diseases; FAO_010|Shrimp infectious myonecrosis strategy manual; FAO_011|Brackishwater Shrimp Culture Demonstration in Bangladesh - BOBP/REP/35; FAO_012|Introductions and movement of Penaeus vannamei and Penaeus stylirostris in Asia and the Pacific; FAO_013|Surveillance and zoning for aquatic animal diseases; FAO_016|Aquaculture development. 13. Guidelines for ex situ in vitro gene banking of aquatic genetic resources; FAO_017|Survey and evaluation of water qualities. A field guide for managers of inland fisheries and fish farms; FAO_018|Water quality and fish health; FAO_019|Understanding and applying risk analysis in aquaculture; FAO_020|Risk Analysis for Movements of Live Aquatic Animals. An introductory training course; FAO_021|Guidelines for Sustainable Aquaculture: Communications handbook and toolkit; FAO_022|Aquaculture development. 4. Ecosystem approach to aquaculture; FAO_023|Environmental impact assessment and monitoring in aquaculture. Requirements, practices, effectiveness and improvements; FAO_024|Reducing environmental impacts of coastal aquaculture; FAO_025|Environmental management and environmental impact assessment in aquaculture: Training Workshop for aquaculture managers. Entebbe, Uganda; FAO_026|Aquaculture Environmental Impact Assessment; FAO_027|Aquaculture Adaptation Framework for Climate Change (Aqua-Adapt); FAO_028|Climate Change Adaptation in Fisheries and Aquaculture. Compilation of initial examples; FAO_029|Impacts of climate change on fisheries and aquaculture. Synthesis of current knowledge, adaptation and mitigation options; FAO_031|Translating the Guidelines for Sustainable Aquaculture into action. Policy brief; FAO_032|Future pathways for aquaculture and fisheries development in Azerbaijan; FAO_033|FAO Reference Centres for Antimicrobial Resistance and Aquaculture Biosecurity. Combating AMR together: ensuring healthy and safe aquatic foods; FAO_034|A survey of national emergency preparedness and response (EPR) systems. FAO Project TCP/INT/3501: Strengthening biosecurity governance and capacities for dealing with the serious shrimp infectious myonecrosis virus (IMNV) disease; FAO_035|Health management in Asian aquaculture; FAO_036|Strengthening aquaculture health management in Bosnia and Herzegovina; FAO_037|Preventing and managing aquatic animal disease risks in aquaculture through a progressive management pathway; FAO_038|Risk management practices of small intensive shrimp farmers in the Mekong Delta of Viet Nam; FAO_039|Promotion of Small-scale Shrimp and Prawn Hatcheries in India and Bangladesh - BOBP/REP/66; FAO_041|Guidelines for Sustainable Aquaculture; FAO_042_biosecurity_philippines|Biosecurity in Aquaculture: Philippines; FAO_042_i3720e|The State of World Fisheries and Aquaculture 2024 – Blue Transformation in action; FAO_043|Boosting biosecurity in Peru’s shrimp farming industry for sustainable livelihoods; FAO_044|Report of the FAO/MARD Technical Workshop on Early Mortality Syndrome (EMS) or Acute Hepatopancreatic Necrosis Syndrome (AHPNS) of Cultured Shrimp; FAO_045|Strengthening Capacity for Dealing with Shrimp Infectious Myonecrosis Virus Disease - TCP/INT/3501; IJMS_001|Integrin β Regulates the Hepatopancreas Antiviral Innate Immune System by Affecting the Expression of Antimicrobial Peptides in Penaeus vannamei; JFST_001|Nuôi cá chẽm (Lates calcarifer, Bloch, 1790) thương phẩm trong hệ thống “sông trong ao” tại Khánh Hòa; MDPI_001|Prevalence of Vibrio parahaemolyticus Causing Acute Hepatopancreatic Necrosis Disease of Shrimp in Shrimp, Molluscan Shellfish and Water Samples in the Mekong Delta, Vietnam; NACA_001|Status, technological innovations, and industry development needs of mud crab (Scylla spp.) aquaculture; NACA_002|Shrimp farm biosecurity in Saudi Arabia: A journey from past practices to future vision; NACA_003|Report of the fifteenth meeting of the Asia Regional Advisory Group on Aquatic Animal Health, 21-23 November 2016; PLOS_001|PmVRP15, a Novel Viral Responsive Protein from the Black Tiger Shrimp, Penaeus monodon, Promoted White Spot Syndrome Virus Replication; PMC_001|Enterocytozoon hepatopenaei Infection in Shrimp: Diagnosis, Interventions, and Food Safety Guidelines; PMC_002|Quantification of Enterocytozoon hepatopenaei (EHP) in Penaeid Shrimps from Southeast Asia and Latin America Using TaqMan Probe-Based Quantitative PCR; PMC_003|Ecytonucleospora hepatopenaei (EHP) disease prevalence and mortality in Litopenaeus vannamei: a comparative study from Eastern India shrimp farms; PMC_004|Differential regulation of the eicosanoid biosynthesis pathway in response to Enterocytozoon hepatopenaei infection in Litopenaeus vannamei; PMC_005|Ecytonucleospora hepatopenaei causes lipid droplet depletion and imbalanced lipid metabolism in Penaeus vannamei; PMC_006|Microbial community characterization of shrimp survivors to AHPND challenge test treated with an effective shrimp probiotic (Vibrio diabolicus); PMC_007|Effects of Feed Mixed with Lactic Acid Bacteria and Carbon, Nitrogen, Phosphorus Supplied to the Water on the Growth and Survival Rate of White Leg Shrimp (Penaeus vannamei) Infected with Acute Hepatopancreatic Necrosis Disease Caused by Vibrio parahaemolyticus; PMC_008|Investigation of the Protective Effect of Probiotic Lactobacillus plantarum Ep-M17 on the Hepatopancreas of Penaeus vannamei; PMC_009|Characterization of Microbiome Diversity in the Digestive Tract of Penaeus vannamei Fed with Probiotics and Challenged with Vibrio parahaemolyticus Acute Hepatopancreatic Necrosis Disease; PMC_010|A Review of the Functional Annotations of Important Genes in the AHPND-Causing pVA1 Plasmid; PMC_011|Structural Insights into the Cytotoxic Mechanism of Vibrio parahaemolyticus PirAvp and PirBvp Toxins; PMC_012|Diagnosis and potential treatments for acute hepatopancreatic necrosis disease (AHPND): a review; PMC_013|Innovative use of squid (Loligo spp.) ink powder as a potent immunostimulant for vannamei shrimp (Litopenaeus vannamei) in the treatment of infectious myonecrosis; PMC_014|Immune response, gene expression, and intestinal microbial composition of Pacific white shrimp fed with multispecies synbiotic for the prevention of coinfected disease; PMC_015|Kiam wood, Cotylelobium lanceotatum, extract as a natural antimicrobial agent: protecting Pacific white shrimp, Penaeus vannamei, against vibriosis; PMC_016|Passive Immune-Protection of Litopenaeus vannamei against Vibrio harveyi and Vibrio parahaemolyticus Infections with Anti-Vibrio Egg Yolk (IgY)-Encapsulated Feed; PMC_017|Shrimp shape resistance trait against vibriosis by memorizing the colonization resistance of intestinal microbiota; PMC_018|Transcriptomic insights into the resistance mechanism of Penaeus vannamei against highly lethal Vibrio parahaemolyticus; PMC_019|Isolation and Characterization of Specific Phages to Prepare a Cocktail Preventing Vibrio sp. Va-F3 Infections in Shrimp (Litopenaeus vannamei); PMC_020|Dynamic Interplay of Metabolic and Transcriptional Responses in Shrimp during Early and Late Infection Stages of Enterocytozoon hepatopenaei (EHP); PMC_021|The emerging pathogen Enterocytozoon hepatopenaei drives a degenerative cyclic pattern in the hepatopancreas microbiome of the shrimp (Penaeus vannamei); PMC_022|Immune signaling of Litopenaeus vannamei c-type lysozyme and its role during microsporidian Enterocytozoon hepatopenaei (EHP) infection; PMC_023|A review on molecular detection techniques of white spot syndrome virus: Perspectives of problems and solutions in shrimp farming; PMC_024|Immunostimulants for shrimp aquaculture: paving pathway towards shrimp sustainability; PMC_025|Occurrence of viral pathogens in Penaeus monodon post-larvae from aquaculture hatcheries; PMC_026|Las bolitas Syndrome in Penaeus vannamei Hatcheries in Latin America; PMC_027|Emergence of decapod hepanhamaparvovirus genotype V and its co-infection with Enterocytozoon hepatopenaei in cultured Penaeus vannamei in Thailand: Evidence from epidemiological, pathogenicity, and microbiome analyses; PMC_028|Microbiome of Pacific Whiteleg shrimp reveals differential bacterial community composition between Wild, Aquacultured and AHPND/EMS outbreak conditions; PMC_029|Selection of Lactic Acid Bacteria (LAB) Antagonizing Vibrio parahaemolyticus: The Pathogen of Acute Hepatopancreatic Necrosis Disease (AHPND) in Whiteleg Shrimp (Penaeus vannamei); PMC_030|Microbial signature profiles of Penaeus vannamei larvae in low-survival hatchery tanks affected by vibriosis; PMC_031|Vibrios Associated with Litopenaeus vannamei Larvae, Postlarvae, Broodstock, and Hatchery Probiotics; PMC_032|Isolation, characterization, and pathogenicity of a Vibrio parahaemolyticus strain causing translucent post-larvae disease in Penaeus vannamei outside China; PMC_033|Delineating virulence of Vibrio campbellii: a predominant luminescent bacterial pathogen in Indian shrimp hatcheries; PMC_034|Genome Characterization and Infectivity Potential of Vibriophage-φLV6 with Lytic Activity against Luminescent Vibrios of Penaeus vannamei Shrimp Aquaculture; PMC_035|Advanced Pathogen Monitoring in Penaeus vannamei from Three Latin American Regions: Passive Surveillance Part 2; PMC_036|Microbiome of Penaeus vannamei Larvae and Potential Biomarkers Associated With High and Low Survival in Shrimp Hatchery Tanks Affected by Acute Hepatopancreatic Necrosis Disease; RIA3_001|Quy hoạch nuôi tôm hùm đến năm 2020 và định hướng đến 2030; SEAFDEC_001|Acute hepatopancreatic necrosis disease (AHPND)) and hepatopancreatic microsporidiosis (HPM)): Two threats to sustainable shrimp aquaculture; SEAFDEC_002|Status of transboundary diseases of penaeid shrimps in Singapore; SEAFDEC_003|Important diseases and practical control measures in shrimp culture in Japan; SEAFDEC_004|Advocating preventive measures that inhibit early mortality syndrome in shrimps; SEAFDEC_005|Status of shrimp health management in Myanmar; SEAFDEC_006|Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines; SEAFDEC_007|Draft genome sequence of Vibrio parahaemolyticus strain PH1339, which causes acute hepatopancreatic necrosis disease in shrimp in the Philippines; SEAFDEC_008|Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming; SEAFDEC_009|Current status of acute hepatopancreatic necrosis disease (AHPND) and other transboundary diseases of farmed shrimps in Indonesia; SEAFDEC_010|Latest research on acute hepatopancreatic necrosis disease (AHPND) of penaeid shrimps; SEAFDEC_011|Current status of acute hepatopancreatic necrosis disease (AHPND) of farmed shrimp in Malaysia; TB_001|Giải pháp an toàn sinh học trong nuôi tôm; TB_002|Công nghệ gen và chọn giống tôm kháng bệnh, tiềm năng và thách thức; TB_003|Cơ chế cơ bản của nhiễm đơn lẻ và đồng nhiễm DIV1 và WSSV ở tôm thẻ chân trắng; TB_004|Mối tương tác vật chủ-bệnh nguyên động và các mục tiêu kháng vi-rút tiềm năng trong quá trình nhiễm vi-rút hoại tử cơ ở tôm thẻ chân trắng; TB_005|Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024; TB_006|Hoại tử cơ (IMNV) trên tôm và chiến lược kiểm soát; TB_007|Bệnh đốm trắng ở tôm nuôi và công nghệ nuôi tôm nhằm phòng bệnh đốm trắng; TCKHTS_001|Thực trạng môi trường và dịch bệnh tại vùng nuôi tôm trên cát ở Thạch Hà, Cẩm Xuyên và Nghi Xuân, Hà Tĩnh; TCKHTS_003|Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại; TCKHTS_005|Tổng quan Decapod iridescent virus 1 (DIV1) gây bệnh ở tôm; TCKHTS_006|Phân lập và định danh vi khuẩn Photobacterium damselae gây bệnh trên cá chim vây vàng tại Khánh Hòa bằng phương pháp sinh hóa và phân tử; TCKHTS_007|Một số đặc điểm sinh học của vi khuẩn Vibrio harveyi gây bệnh xuất huyết lở loét ở cá chẽm nuôi tại Khánh Hòa; TCKHTS_008|Bệnh mù mắt do liên cầu khuẩn gây ra ở cá bớp nuôi tại Khánh Hòa; TCKHTS_009|Nghiên cứu mối quan hệ phát sinh loài của sán lá song chủ ký sinh trên cá chẽm (Lates calcarifer Bloch, 1790) nuôi tại Khánh Hòa; TCTS_001|Các bệnh thường gặp trên tôm nước lợ và biện pháp phòng chống hiệu quả; TNU_JST_001|Điều tra độc lực của vi khuẩn Vibrio parahaemolyticus gây bệnh trên tôm thẻ chân trắng; VJAS_001|Nghiên cứu bệnh vi bào tử trùng Enterocytozoon hepatopenaei (EHP) trên tôm thẻ chân trắng nuôi tại Quảng Ninh và Nam Định; VJAS_002|Tổng quan về bệnh do vi khuẩn Streptococcus iniae gây ra trên cá biển; VJMST_001|Hiện trạng nuôi trồng và khai thác thủy sản tại đầm Thủy Triều huyện Cam Lâm, tỉnh Khánh Hòa; YERSIN_001|Đánh giá tính bền vững nghề nuôi tôm tại huyện Ninh Hòa - tỉnh Khánh Hòa",FAO_001; FAO_005; FAO_008,correct,documentProductionMode,Ontology maps hatchery/aquaculture variants mainly to Aquaculture.
CQ_04,Tìm bệnh liên quan đến tôm thẻ chân trắng / Penaeus vannamei,disease_query,diseases_for_taxon:Penaeus vannamei,WhiteSpotDisease;IMN,IMN|Infectious myonecrosis; WhiteSpotDisease|Bệnh đốm trắng,WhiteSpotDisease; IMN,correct,hasDisease;affectsTaxon,Uses taxon hasDisease and inverse disease affectsTaxon.
CQ_05,Tìm loài bị ảnh hưởng bởi AHPND,taxon_query,taxa_affected_by_disease:AHPND,Tom_su,Tom_su|Tôm sú,Tom_su,correct,affectsTaxon,AHPND affectsTaxon Tom_su in current ontology.
CQ_06,Tìm tác nhân gây bệnh AHPND,pathogen_query,pathogens_for_disease:AHPND,Vibrio_parahaemolyticus,Vibrio_parahaemolyticus|Vi khuẩn Vibrio parahaemolyticus,Vibrio_parahaemolyticus,correct,causedBy,AHPND causedBy Vibrio_parahaemolyticus.
CQ_07,Tìm triệu chứng của AHPND,symptom_query,symptoms_for_disease:AHPND,Anorexia;GanTuyBatThuong;Letargy,Anorexia|Bỏ ăn; GanTuyBatThuong|Gan tụy bất thường; Letargy|Lờ đờ,Anorexia; GanTuyBatThuong; Letargy,correct,hasSymptom,AHPND has three symptom individuals in current ontology.
CQ_08,Tìm tài liệu có mentions AHPND,document_retrieval,docs_mention_entity:AHPND,FAO_001;FAO_003,FAO_001|Shrimp acute hepatopancreatic necrosis disease strategy manual; FAO_003|Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND),FAO_001; FAO_003,correct,mentions,mentions relation is sparser than aboutDisease.
CQ_09,Tìm tài liệu khớp đồng thời disease AHPND và taxon tôm sú,document_retrieval,docs_about_disease_and_taxon:AHPND|Penaeus monodon,FAO_001;FAO_003;FAO_006,"FAO_001|Shrimp acute hepatopancreatic necrosis disease strategy manual; FAO_003|Special Publication on Acute Hepatopancreatic Necrosis Disease (AHPND); FAO_006|FAO Second International Technical Seminar/Workshop on Acute hepatopancreatic necrosis disease (AHPND), Bangkok, Thailand 23–25 June 2016; SEAFDEC_004|Advocating preventive measures that inhibit early mortality syndrome in shrimps; SEAFDEC_006|Status of acute hepatopancreatic necrosis disease (AHPND) of cultured shrimps in the Philippines; SEAFDEC_008|Current status and impact of early mortality syndrome (EMS)/acute hepatopancreatic necrosis disease (AHPND) and hepatopancreatic microsporidiosis (HPM) outbreaks on Thailand’s shrimp farming; TB_005|Sự hiện diện của bệnh đốm trắng, hoại tử gan tụy cấp và vi bào tử trùng trên tôm giống và tôm nuôi thương phẩm tại một số tỉnh khu vực ĐBSCL từ năm 2022-2024",FAO_001; FAO_003; FAO_006,correct,aboutDisease;aboutTaxon,Conjunctive structured query over disease and taxon facts.
CQ_10,Giải thích vì sao FAO_001 phù hợp với truy vấn AHPND/tôm,explanation,explain_doc_match:FAO_001|AHPND|Penaeus monodon,aboutDisease=AHPND;aboutTaxon=Tom_su,aboutDisease=AHPND; aboutTaxon=Generic_Shrimp; aboutTaxon=Tom_su; aboutTaxon=Tom_the_chan_trang; documentProductionMode=Aquaculture; mentions=AHPND,aboutDisease=AHPND; aboutTaxon=Tom_su,correct,aboutDisease;aboutTaxon;documentProductionMode;mentions,Checks structured evidence for one document rather than ranking.
