doc_id,title,production_mode,status,added_modes,reason
KNQG_001,"Phát triển nuôi cá lồng bè trên biển bền vững, thích ứng biến đổi khí hậu",marine aquaculture; cage culture; offshore cage farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
TCKHTS_002,"Mô hình phòng, trị bệnh sữa, bệnh đỏ thân trên tôm hùm nuôi lồng tại các tỉnh Nam Trung Bộ",marine aquaculture; cage culture; lobster farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
TCTS_002,Quy trình kiểm soát Rickettsia-like bacteria (RLB) gây bệnh sữa trên tôm hùm (Panulirus spp.) nuôi lồng,marine aquaculture; cage culture; lobster farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
HUIB_001,Khả năng hình thành màng sinh học và tính kháng kháng sinh của Vibrio parahaemolyticus phân lập từ tôm hùm Panulirus spp. nuôi,marine aquaculture; cage culture; lobster farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
KKTY_001,Tỷ lệ nhiễm và mức độ mẫn cảm kháng sinh của vi khuẩn Vibrio parahaemolyticus phân lập từ tôm hùm bông (Panulirus ornatus) nuôi lồng ở vùng biển tỉnh Phú Yên,marine aquaculture; cage culture; lobster farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
TCKHTS_003,Tình hình cung cấp con giống tôm hùm bông (Panulirus ornatus) ở Việt Nam: hiện trạng và trở ngại,marine aquaculture; lobster farming; seed supply; nursery,patched,Generic_CoastalAquaculture; Aquaculture,metadata production_mode mapped to existing broad ProductionMode individual
KNQG_002,Kỹ thuật nuôi tôm hùm lồng và các biện pháp phòng trị bệnh,marine aquaculture; cage culture; lobster farming,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
CTU_JOURNAL_001,Phân tích hiệu quả sản xuất các mô hình nuôi tôm thẻ chân trắng và tôm sú thâm canh ở tỉnh Ninh Thuận,shrimp farming; intensive aquaculture; intensive shrimp farming,patched,Generic_CoastalAquaculture; Aquaculture,metadata production_mode mapped to existing broad ProductionMode individual
CTU_JOURNAL_002,Phân tích hiệu quả kỹ thuật và tài chính của mô hình nuôi tôm thẻ chân trắng ở tỉnh Cà Mau,shrimp farming; intensive shrimp farming; aquaculture production,patched,Generic_CoastalAquaculture; Aquaculture,metadata production_mode mapped to existing broad ProductionMode individual
VAWRE_001,Nghiên cứu biến động và giải pháp kiểm soát chất lượng môi trường vùng nuôi tôm tập trung tại Quảng Ninh,shrimp farming; intensive shrimp farming; aquaculture environmental management,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
VJMST_003,Đánh giá sức tải môi trường vực nước Thủy Triều - Cam Ranh,aquaculture environmental management; coastal water management,patched,Generic_CoastalAquaculture,metadata production_mode mapped to existing broad ProductionMode individual
