file_name,path,exists,size_bytes,modified_time,width,height,figure_group,current_138_status,likely_old_110_or_pre138,needs_regenerate_for_138,recommended_use,caption_vi
fig_ablation_key_metrics.pdf,outputs\figures\fig_ablation_key_metrics.pdf,True,17054,2026-05-31 13:53:46,,,KG ablation,KEEP_CURRENT_138,No,No,supporting diagnostic / Chapter 4 if used,So sánh các cấu hình KG ablation fixed-pool theo metric chính.
fig_ablation_key_metrics.png,outputs\figures\fig_ablation_key_metrics.png,True,56453,2026-05-31 13:53:46,2132,1162,KG ablation,KEEP_CURRENT_138,No,No,supporting diagnostic / Chapter 4 if used,So sánh các cấu hình KG ablation fixed-pool theo metric chính.
fig_baseline_key_metrics.pdf,outputs\figures\fig_baseline_key_metrics.pdf,True,17444,2026-05-31 13:42:24,,,core metrics,KEEP_CURRENT_138,No,No,main report,So sánh các chỉ số truy hồi chính trên 28 truy vấn core cho corpus 138 tài liệu.
fig_baseline_key_metrics.png,outputs\figures\fig_baseline_key_metrics.png,True,57448,2026-05-31 13:42:24,2066,1118,core metrics,KEEP_CURRENT_138,No,No,main report,So sánh các chỉ số truy hồi chính trên 28 truy vấn core cho corpus 138 tài liệu.
fig_candidate_fusion_summary.png,outputs\figures\fig_candidate_fusion_summary.png,True,159510,2026-05-27 09:55:27,3071,1814,candidate fusion,OPTIONAL_RERUN,Yes - pre-138 and result contains removed docs,Yes if used in final report,supporting/future work only,Kết quả candidate fusion cũ; chỉ dùng sau khi rerun cho snapshot 138 docs.
fig_corpus_topic_distribution.png,outputs\figures\fig_corpus_topic_distribution.png,True,77234,2026-05-31 13:52:09,2000,1160,corpus topic distribution,KEEP_CURRENT_138,No,No,main/supporting corpus description,Phân bố chủ đề đa nhãn của corpus 138 tài liệu thủy sản.
fig_explanation_quality_summary.png,outputs\figures\fig_explanation_quality_summary.png,True,69459,2026-05-31 13:53:02,2000,1100,explanation quality,KEEP_CURRENT_138,No,No,supporting diagnostic,Tóm tắt độ phủ giải thích tự động cho Hybrid Top-10.
fig_extended_evaluation_summary.png,outputs\figures\fig_extended_evaluation_summary.png,True,183330,2026-05-27 10:22:26,3555,2027,extended evaluation,OPTIONAL_RERUN,Yes - pre-138/unknown snapshot,Yes if used in final report,supporting only if rerun,Kết quả extended evaluation cũ; không dùng làm evidence final nếu chưa rerun.
fig_hybrid_vs_vector_metadata_by_group.pdf,outputs\figures\fig_hybrid_vs_vector_metadata_by_group.pdf,True,15667,2026-05-31 13:42:25,,,group comparison,KEEP_CURRENT_138,No,No,main report,So sánh nDCG@10 giữa Hybrid và Vector+Metadata theo nhóm truy vấn.
fig_hybrid_vs_vector_metadata_by_group.png,outputs\figures\fig_hybrid_vs_vector_metadata_by_group.png,True,95905,2026-05-31 13:42:25,2190,1118,group comparison,KEEP_CURRENT_138,No,No,main report,So sánh nDCG@10 giữa Hybrid và Vector+Metadata theo nhóm truy vấn.
fig_kg_ablation_summary.png,outputs\figures\fig_kg_ablation_summary.png,True,179322,2026-05-31 13:53:14,3767,1987,KG ablation,KEEP_CURRENT_138,No,No,supporting diagnostic / Chapter 4 if used,"Kết quả KG ablation fixed-pool trên Top-10 Hybrid, dùng như diagnostic hỗ trợ."
fig_kg_runtime_contribution_summary.png,outputs\figures\fig_kg_runtime_contribution_summary.png,True,94105,2026-05-31 13:53:46,1802,1074,KG diagnostics,KEEP_CURRENT_138,No,No,supporting diagnostic,"Tỷ lệ hàng Top-10 Hybrid có bằng chứng KG trực tiếp, quan hệ/ngữ cảnh và giải thích."
fig_kg_score_components.png,outputs\figures\fig_kg_score_components.png,True,136838,2026-05-31 13:52:34,2706,1640,KG diagnostics,KEEP_CURRENT_138,No,No,supporting diagnostic,Phân rã đóng góp điểm KG trong Top-10 Hybrid trên 28 truy vấn core.
fig_quality_latency_tradeoff.pdf,outputs\figures\fig_quality_latency_tradeoff.pdf,True,18780,2026-05-31 13:42:25,,,latency/tradeoff,KEEP_CURRENT_138,No,No,main report,Quan hệ giữa chất lượng truy hồi nDCG@10 và độ trễ trung bình.
fig_quality_latency_tradeoff.png,outputs\figures\fig_quality_latency_tradeoff.png,True,64486,2026-05-31 13:42:25,1816,1116,latency/tradeoff,KEEP_CURRENT_138,No,No,main report,Quan hệ giữa chất lượng truy hồi nDCG@10 và độ trễ trung bình.
fig_query_expansion_examples.png,outputs\figures\fig_query_expansion_examples.png,True,190973,2026-05-27 10:50:20,3384,1383,query expansion,FUTURE_WORK_ONLY,Yes - pre-138/optional experiment,No; keep as future work only,future work only unless rerun,"Minh họa query expansion, nên để future work nếu không rerun."
fig_query_expansion_experiment_summary.png,outputs\figures\fig_query_expansion_experiment_summary.png,True,79146,2026-05-29 22:31:06,2000,1100,query expansion,FUTURE_WORK_ONLY,Yes - pre-138/optional experiment,No; keep as future work only,future work only unless rerun,Kết quả query expansion cũ; chỉ dùng sau khi rerun hoặc chuyển future work.
