candidate_id,rule_group,rule_name,subject_type,subject_id,predicate,object_type,object_id,source_evidence,confidence_level,should_assert,reason_not_asserted,example_query_ids_if_relevant,note
SRC_0001,disease-pathogen-symptom-prevention-treatment,disease_has_pathogen_context,disease,Infectious myonecrosis,hasPathogenContext,pathogen,Infectious myonecrosis virus,IMN causedBy IMNV,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0002,disease-pathogen-symptom-prevention-treatment,disease_has_pathogen_context,disease,Bệnh hoại tử gan tụy cấp,hasPathogenContext,pathogen,Vi khuẩn Vibrio parahaemolyticus,AHPND causedBy Vibrio_parahaemolyticus,high,false,candidate only; manual review required,DS_007,Direct disease-level KG relation; candidate evidence only.
SRC_0003,disease-pathogen-symptom-prevention-treatment,disease_has_pathogen_context,disease,Bệnh đốm trắng,hasPathogenContext,pathogen,Virus đốm trắng (WSSV),WhiteSpotDisease causedBy WSSV,high,false,candidate only; manual review required,DS_002;LO_002;LO_006,Direct disease-level KG relation; candidate evidence only.
SRC_0004,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Infectious myonecrosis,hasSymptomContext,symptom,Lờ đờ,IMN hasSymptom Letargy,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0005,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh hoại tử gan tụy cấp,hasSymptomContext,symptom,Lờ đờ,AHPND hasSymptom Letargy,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0006,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh đốm trắng,hasSymptomContext,symptom,Lờ đờ,WhiteSpotDisease hasSymptom Letargy,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0007,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh hoại tử gan tụy cấp,hasSymptomContext,symptom,Bỏ ăn,AHPND hasSymptom Anorexia,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0008,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh đốm trắng,hasSymptomContext,symptom,Bỏ ăn,WhiteSpotDisease hasSymptom Anorexia,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0009,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh hoại tử gan tụy cấp,hasSymptomContext,symptom,Gan tụy bất thường,AHPND hasSymptom GanTuyBatThuong,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0010,disease-pathogen-symptom-prevention-treatment,disease_has_symptom_context,disease,Bệnh đốm trắng,hasSymptomContext,symptom,Đốm trắng,WhiteSpotDisease hasSymptom WhiteSpot,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0011,disease-pathogen-symptom-prevention-treatment,disease_has_prevention_context,disease,Infectious myonecrosis,hasPreventionContext,prevention,An toàn sinh học,IMN recommendedPrevention Biosecurity,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0012,disease-pathogen-symptom-prevention-treatment,disease_has_prevention_context,disease,Bệnh hoại tử gan tụy cấp,hasPreventionContext,prevention,An toàn sinh học,AHPND recommendedPrevention Biosecurity,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0013,disease-pathogen-symptom-prevention-treatment,disease_has_prevention_context,disease,Bệnh đốm trắng,hasPreventionContext,prevention,An toàn sinh học,WhiteSpotDisease recommendedPrevention Biosecurity,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0014,disease-pathogen-symptom-prevention-treatment,disease_has_prevention_context,disease,Bệnh hoại tử gan tụy cấp,hasPreventionContext,prevention,Giống sạch bệnh (SPF),AHPND recommendedPrevention UseSPFSeed,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0015,disease-pathogen-symptom-prevention-treatment,disease_has_prevention_context,disease,Bệnh đốm trắng,hasPreventionContext,prevention,Giống sạch bệnh (SPF),WhiteSpotDisease recommendedPrevention UseSPFSeed,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0016,disease-pathogen-symptom-prevention-treatment,disease_has_treatment_context,disease,Bệnh hoại tử gan tụy cấp,hasTreatmentContext,treatment,Tăng sục khí,AHPND recommendedTreatment ImproveAeration,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0017,disease-pathogen-symptom-prevention-treatment,disease_has_treatment_context,disease,Bệnh đốm trắng,hasTreatmentContext,treatment,Tăng sục khí,WhiteSpotDisease recommendedTreatment ImproveAeration,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0018,disease-pathogen-symptom-prevention-treatment,disease_has_treatment_context,disease,Bệnh hoại tử gan tụy cấp,hasTreatmentContext,treatment,Thay nước,AHPND recommendedTreatment WaterExchange,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
SRC_0019,disease-pathogen-symptom-prevention-treatment,disease_has_treatment_context,disease,Bệnh đốm trắng,hasTreatmentContext,treatment,Thay nước,WhiteSpotDisease recommendedTreatment WaterExchange,high,false,candidate only; manual review required,,Direct disease-level KG relation; candidate evidence only.
